Titre	Période (conseillée)	Volume (en mots)	Code API	Longueur max	Résolution	Seuils	Date de téléchargement	Gallica_context_filter	Available_modes	Catégorie
Midi Libre	1970-2026	?	midilibre	2	Journalière	Aucun	Septembre 2026			Modern press
Nice-Matin	2013-2026	?	nice_matin	2	Journalière	Aucun	Septembre 2026			Modern press
Ouest-France	2001-2026	?	ouest_france2	2	Journalière	Aucun	Septembre 2026			Modern press
Paris Match	1970-2026	?	paris_match	2	Journalière	Aucun	Septembre 2026			Modern press
Paris Normandie	2019-2026	?	paris_normandie	2	Journalière	Aucun	Septembre 2026			Modern press
Presse Océan	2012-2026	?	presse_ocean	2	Journalière	Aucun	Septembre 2026			Modern press
Sud Ouest	2010-2018	?	sud_ouest	2	Journalière	Aucun	Septembre 2026			Modern press
Télérama	1950-2026	?	telerama	2	Journalière	Aucun	Septembre 2026			Modern press
Valeurs Actuelles	2003-2026	?	valeurs_actuelles	2	Journalière	Aucun	Septembre 2026			Modern press
Voici	2007-2026	?	voici	2	Journalière	Aucun	Septembre 2026			Modern press
Voiles et Voiliers	2008-2026	?	voiles_et_voiliers	2	Journalière	Aucun	Septembre 2026			Modern press
